date,region,category,manager,revenue,quantity,discount_amount,status,returns,week_start,is_return_or_cancel
2026-04-10,Сибирь,ТВ,Сидорова,11064.39,2,143.37,return,1,2026-04-06,1
2026-06-19,Урал,Наушники,Сидорова,37126.09,2,2521.37,completed,0,2026-06-15,0
2026-05-06,Сибирь,Бытовая техника,Сидорова,0.0,2,7840.81,cancel,1,2026-05-04,1
2026-05-08,Юг,Планшеты,Сидорова,43251.99,2,1754.53,return,1,2026-05-04,1
2026-06-18,СПб,Смартфоны,Сидорова,40308.68,1,4889.37,completed,0,2026-06-15,0
2026-04-28,Юг,ТВ,Сидорова,23603.74,3,99.87,completed,0,2026-04-27,0
2026-04-18,Сибирь,Наушники,Сидорова,106492.58,3,5995.76,completed,0,2026-04-13,0
2026-04-11,Сибирь,Смартфоны,Сидорова,46219.99,2,3224.25,return,1,2026-04-06,1
2026-06-11,СПб,Планшеты,Сидорова,26624.56,2,3637.47,return,1,2026-06-08,1
2026-04-07,Юг,Смартфоны,Сидорова,111216.6,3,14682.86,completed,0,2026-04-06,0
2026-05-17,Урал,ТВ,Сидорова,42530.33,2,5475.15,completed,0,2026-05-11,0
2026-04-28,СПб,Ноутбуки,Сидорова,116782.11,3,7762.11,completed,0,2026-04-27,0
2026-04-22,Юг,ТВ,Сидорова,29181.09,2,3919.68,completed,0,2026-04-20,0
2026-04-24,СПб,Наушники,Сидорова,56702.77,3,4428.24,completed,0,2026-04-20,0
2026-04-05,Юг,Планшеты,Сидорова,68690.48,2,7051.9,completed,0,2026-03-30,0
2026-04-24,Урал,Бытовая техника,Сидорова,10468.94,2,410.09,return,1,2026-04-20,1
2026-05-03,Сибирь,Бытовая техника,Сидорова,83299.22,3,3750.9,completed,0,2026-04-27,0
2026-05-06,Юг,Ноутбуки,Сидорова,101354.73,1,7157.38,completed,0,2026-05-04,0
2026-04-22,Юг,Ноутбуки,Сидорова,87846.84,3,1176.71,completed,0,2026-04-20,0
2026-06-30,Урал,Наушники,Сидорова,29129.37,2,1138.49,completed,0,2026-06-29,0
2026-06-01,Сибирь,Ноутбуки,Сидорова,0.0,3,2907.25,cancel,1,2026-06-01,1
2026-04-30,Москва,Смартфоны,Сидорова,0.0,2,2654.55,cancel,1,2026-04-27,1
2026-05-16,Юг,Ноутбуки,Сидорова,61235.47,3,8938.42,completed,0,2026-05-11,0
2026-05-05,Сибирь,Наушники,Сидорова,16318.34,2,1688.71,completed,0,2026-05-04,0
2026-05-27,СПб,Наушники,Сидорова,53643.21,3,5441.8,completed,0,2026-05-25,0
2026-06-06,Сибирь,Наушники,Сидорова,13298.32,1,1956.19,return,1,2026-06-01,1
2026-05-21,Юг,Бытовая техника,Сидорова,95638.64,3,8067.11,completed,0,2026-05-18,0
2026-05-04,Урал,Бытовая техника,Сидорова,3257.04,3,255.02,completed,0,2026-05-04,0
2026-05-27,СПб,Бытовая техника,Сидорова,28223.97,1,3205.46,return,1,2026-05-25,1
2026-06-28,Юг,Планшеты,Сидорова,15115.81,3,1998.44,completed,0,2026-06-22,0
2026-05-27,Урал,Бытовая техника,Сидорова,76027.61,3,1513.01,completed,0,2026-05-25,0
2026-06-20,СПб,ТВ,Сидорова,26388.58,1,3322.51,completed,0,2026-06-15,0
2026-05-12,Юг,Смартфоны,Сидорова,26868.11,2,413.02,completed,0,2026-05-11,0
2026-05-10,Москва,Смартфоны,Сидорова,116002.49,1,10798.01,completed,0,2026-05-04,0
2026-06-26,Москва,Наушники,Сидорова,0.0,3,672.4,cancel,1,2026-06-22,1
2026-05-24,Урал,Смартфоны,Сидорова,71326.37,2,7592.93,completed,0,2026-05-18,0
2026-05-23,Юг,Планшеты,Сидорова,60394.46,1,7102.67,completed,0,2026-05-18,0
2026-04-26,Москва,Бытовая техника,Сидорова,0.0,2,4331.6,cancel,1,2026-04-20,1
2026-05-25,Юг,Бытовая техника,Сидорова,48147.48,1,6581.78,completed,0,2026-05-25,0
2026-06-18,Юг,Смартфоны,Сидорова,0.0,3,575.63,cancel,1,2026-06-15,1
2026-06-24,Юг,Наушники,Сидорова,26097.86,2,501.92,completed,0,2026-06-22,0
2026-05-28,Сибирь,ТВ,Сидорова,86327.3,1,8799.95,completed,0,2026-05-25,0
2026-06-27,Сибирь,Наушники,Сидорова,105712.64,2,7721.85,completed,0,2026-06-22,0
2026-04-29,Юг,Смартфоны,Сидорова,23565.11,1,3150.53,completed,0,2026-04-27,0
2026-06-20,Урал,Бытовая техника,Сидорова,0.0,3,6297.64,cancel,1,2026-06-15,1
2026-06-27,Москва,Планшеты,Сидорова,22375.88,1,504.26,return,1,2026-06-22,1
2026-06-30,Юг,Наушники,Сидорова,36142.2,1,29.65,completed,0,2026-06-29,0
2026-05-23,Сибирь,Планшеты,Сидорова,103032.3,3,4258.75,completed,0,2026-05-18,0
2026-06-29,Юг,Наушники,Сидорова,14732.6,3,1356.93,completed,0,2026-06-29,0
2026-04-15,Урал,Ноутбуки,Сидорова,13312.46,1,1216.15,return,1,2026-04-13,1
2026-06-07,Урал,Наушники,Сидорова,13160.61,3,780.05,completed,0,2026-06-01,0
2026-04-08,Урал,ТВ,Сидорова,0.0,1,10010.09,cancel,1,2026-04-06,1
2026-05-03,Москва,Планшеты,Сидорова,0.0,2,2195.62,cancel,1,2026-04-27,1
2026-04-17,Юг,Планшеты,Сидорова,0.0,3,7633.44,cancel,1,2026-04-13,1
2026-04-19,Сибирь,Смартфоны,Сидорова,0.0,1,5961.48,cancel,1,2026-04-13,1
2026-06-26,Урал,Ноутбуки,Сидорова,84995.77,1,5086.11,completed,0,2026-06-22,0
2026-06-08,СПб,Наушники,Сидорова,11895.37,2,389.99,completed,0,2026-06-08,0
2026-06-07,Юг,Планшеты,Сидорова,45232.56,2,134.58,completed,0,2026-06-01,0
2026-06-21,Урал,ТВ,Сидорова,0.0,3,1793.27,cancel,1,2026-06-15,1
2026-05-02,Сибирь,Планшеты,Сидорова,107087.0,2,10147.22,return,1,2026-04-27,1
2026-05-28,Урал,Ноутбуки,Сидорова,12256.1,2,1200.51,completed,0,2026-05-25,0
2026-05-14,Москва,Смартфоны,Сидорова,0.0,3,2154.54,cancel,1,2026-05-11,1
2026-05-12,СПб,Бытовая техника,Сидорова,39196.37,2,3683.37,return,1,2026-05-11,1
2026-04-12,Сибирь,Планшеты,Сидорова,104116.21,3,6947.34,completed,0,2026-04-06,0
2026-05-21,СПб,ТВ,Сидорова,0.0,2,7898.01,cancel,1,2026-05-18,1
2026-04-21,Москва,Планшеты,Сидорова,0.0,1,1856.04,cancel,1,2026-04-20,1
2026-05-14,Москва,ТВ,Сидорова,24754.7,1,2655.67,completed,0,2026-05-11,0
2026-05-25,СПб,Смартфоны,Сидорова,12386.1,2,132.63,completed,0,2026-05-25,0
2026-05-25,Урал,Планшеты,Сидорова,55577.95,2,6.0,completed,0,2026-05-25,0
2026-06-18,СПб,Планшеты,Сидорова,92590.89,2,5691.62,return,1,2026-06-15,1
2026-06-03,Москва,Планшеты,Сидорова,99177.1,3,604.78,return,1,2026-06-01,1
2026-04-18,Юг,Ноутбуки,Сидорова,72704.25,1,3275.33,completed,0,2026-04-13,0
2026-06-20,Урал,Смартфоны,Сидорова,28134.27,3,2157.64,completed,0,2026-06-15,0
2026-06-13,Москва,ТВ,Сидорова,0.0,2,2976.52,cancel,1,2026-06-08,1
2026-04-05,Юг,Смартфоны,Сидорова,9332.97,3,790.85,return,1,2026-03-30,1
2026-05-26,СПб,Ноутбуки,Сидорова,95005.09,1,6781.29,completed,0,2026-05-25,0
2026-05-05,Урал,Ноутбуки,Сидорова,52554.25,2,4681.62,return,1,2026-05-04,1
2026-05-13,СПб,Ноутбуки,Сидорова,8250.67,1,937.77,return,1,2026-05-11,1
2026-05-20,СПб,Смартфоны,Сидорова,0.0,1,957.37,cancel,1,2026-05-18,1
2026-06-01,Юг,ТВ,Сидорова,7651.03,2,451.49,completed,0,2026-06-01,0
2026-04-04,Урал,ТВ,Сидорова,5149.55,1,769.34,completed,0,2026-03-30,0
2026-06-10,Москва,Бытовая техника,Сидорова,0.0,2,4711.71,cancel,1,2026-06-08,1
2026-04-30,СПб,Наушники,Сидорова,31122.21,3,1537.21,return,1,2026-04-27,1
2026-04-05,Урал,Наушники,Сидорова,115459.95,1,13493.36,return,1,2026-03-30,1
2026-04-04,Юг,Наушники,Сидорова,18688.14,1,2388.71,return,1,2026-03-30,1
2026-05-02,Сибирь,Бытовая техника,Сидорова,104454.09,2,13906.81,return,1,2026-04-27,1
2026-06-13,Сибирь,Наушники,Сидорова,25212.49,2,1744.76,completed,0,2026-06-08,0
2026-06-18,Москва,Ноутбуки,Сидорова,67390.47,3,8807.65,return,1,2026-06-15,1
2026-06-27,Урал,ТВ,Сидорова,13895.78,2,1709.73,completed,0,2026-06-22,0
2026-05-03,Сибирь,Смартфоны,Сидорова,0.0,2,10077.52,cancel,1,2026-04-27,1
2026-04-15,СПб,Бытовая техника,Сидорова,4321.78,2,512.26,completed,0,2026-04-13,0
2026-04-17,Урал,Планшеты,Сидорова,100707.37,3,8095.14,completed,0,2026-04-13,0
2026-05-16,Москва,ТВ,Сидорова,24923.33,3,118.24,return,1,2026-05-11,1
2026-05-15,СПб,ТВ,Сидорова,40543.0,3,1940.89,completed,0,2026-05-11,0
2026-05-18,Сибирь,Планшеты,Сидорова,0.0,2,5347.85,cancel,1,2026-05-18,1
